Params,Score
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.3348266346538616
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.46299758303321326
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.4711583513405363
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.28658202480992395
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.30522384953981596
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.4726792156862746
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.4774792476990797
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.26538061624649856
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.28122218487394957
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.47387895958383347
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.47891918367346936
