Columnas en modelo
able
absolutely
access
activity
actually
afternoon
air
airport
amazing
amenity
american
amsterdam
area
arrival
arrived
ask
asked
ate
atmosphere
attraction
available
average
away
awesome
bad
bag
balcony
bar
barcelona
basic
bath
bathroom
beach
beautiful
bed
bedroom
beer
believe
best
better
big
bit
block
book
booked
booking
bottle
breakfast
bring
brought
buffet
building
bus
business
busy
buy
ca
cab
cafe
called
came
cana
car
card
care
casino
center
central
centre
certainly
chair
change
charge
cheap
check
checked
cheese
child
choice
choose
chose
city
clean
cleaned
close
club
coffee
cold
come
comfortable
coming
comment
complaint
complimentary
concierge
conditioning
convenient
cool
corner
cost
country
couple
course
customer
daily
daughter
day
deal
decent
decided
decor
decorated
definitely
desk
different
dining
dinner
dirty
disappointed
distance
dollar
dominican
dont
door
double
downtown
drink
early
easy
eat
efficient
elevator
end
english
enjoy
enjoyed
entertainment
entire
especially
euro
european
evening
excellent
expect
expected
expensive
experience
extra
extremely
fabulous
facility
fact
family
fantastic
far
feel
felt
finally
fine
flight
floor
florence
food
free
french
fresh
fridge
friend
friendly
fruit
fun
garden
gave
getting
given
glass
going
good
gorgeous
got
grand
great
ground
group
guest
guy
half
hand
happy
hard
head
hear
heard
help
helpful
high
highly
hilton
holiday
home
honeymoon
hot
hotel
hour
house
housekeeping
huge
husband
impressed
included
including
inclusive
inn
instead
internet
island
issue
italian
juan
juice
kept
key
kid
kind
king
know
la
large
late
later
leave
left
let
level
life
light
like
liked
line
little
lobby
local
located
location
london
long
look
looked
looking
lot
lounge
love
loved
lovely
luggage
lunch
maid
main
major
make
making
manager
market
maybe
meal
mean
member
menu
met
metro
middle
min
mind
mini
minute
modern
money
month
morning
museum
music
near
nearby
need
needed
negative
new
nice
night
noise
noisy
non
note
nothing
number
ocean
offer
offered
ok
old
one
open
option
order
outside
overall
paid
palace
paris
park
parking
party
pay
people
perfect
person
phone
pillow
place
plaza
pleasant
plenty
plus
point
pool
poor
pretty
previous
price
priced
probably
problem
property
provided
punta
quality
quick
quiet
quite
rate
read
reading
ready
real
really
reason
reasonable
reception
recommend
recommended
relax
relaxing
remember
request
requested
reservation
resort
rest
restaurant
return
returned
review
ride
right
road
room
rude
run
safe
said
san
sand
saw
say
second
seen
selection
served
service
set
shop
shopping
short
show
shower
shuttle
sick
sight
single
sit
site
size
sleep
small
smell
snack
spa
space
spacious
spanish
speak
special
spend
spent
spoke
spot
square
st
staff
standard
star
start
station
stay
stayed
staying
stop
store
street
style
suite
sun
superb
sure
swim
table
taken
taking
taxi
tea
tell
thing
think
thought
time
tiny
tip
toilet
told
took
touch
tour
tourist
towel
tower
town
train
travel
tried
trip
try
trying
tub
turn
tv
twice
type
upgrade
upgraded
use
used
usually
vacation
value
variety
view
visit
wait
waiting
walk
walked
walking
wall
want
wanted
warm
water
way
weather
website
wedding
week
weekend
welcome
went
white
wife
window
wine
wonderful
work
worked
working
world
worst
worth
wrong
year
yes
york
