price,security_deposit,cleaning_fee,availability_365,review_scores_value
80,200.0,35.0,239.0,9.0
40,805.2062841530054,104.45833333333333,220.44979367262724,8.0
115,805.2062841530054,100.0,343.0,9.0
317,805.2062841530054,187.0,220.44979367262724,9.305147058823529
527,805.2062841530054,211.0,362.0,10.0
701,1000.0,250.0,363.0,9.305147058823529
858,4476.0,112.0,220.44979367262724,9.305147058823529
43,805.2062841530054,104.45833333333333,32.0,9.305147058823529
135,805.2062841530054,135.0,93.0,10.0
50,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
250,805.2062841530054,104.45833333333333,296.0,8.0
205,805.2062841530054,104.45833333333333,243.0,9.0
140,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
50,100.0,10.0,220.44979367262724,9.305147058823529
699,805.2062841530054,104.45833333333333,220.44979367262724,8.0
30,805.2062841530054,10.0,335.0,10.0
119,600.0,150.0,118.0,10.0
361,805.2062841530054,104.45833333333333,365.0,9.305147058823529
145,805.2062841530054,60.0,220.44979367262724,10.0
181,300.0,50.0,220.44979367262724,9.0
121,805.2062841530054,104.45833333333333,365.0,9.0
40,250.0,15.0,46.0,10.0
181,805.2062841530054,50.0,220.0,10.0
185,800.0,120.0,265.0,10.0
250,400.0,150.0,220.44979367262724,9.305147058823529
838,805.2062841530054,104.45833333333333,365.0,7.0
150,200.0,104.45833333333333,220.44979367262724,9.305147058823529
933,805.2062841530054,104.45833333333333,365.0,9.305147058823529
997,805.2062841530054,104.45833333333333,365.0,9.305147058823529
40,805.2062841530054,50.0,359.0,9.305147058823529
46,805.2062841530054,15.0,365.0,10.0
58,805.2062841530054,104.45833333333333,37.0,10.0
275,805.2062841530054,35.0,220.44979367262724,9.0
45,805.2062841530054,104.45833333333333,34.0,10.0
34,805.2062841530054,25.0,220.44979367262724,10.0
149,805.2062841530054,30.0,178.0,10.0
400,805.2062841530054,104.45833333333333,145.0,9.0
95,805.2062841530054,130.0,246.0,9.0
499,805.2062841530054,99.0,365.0,10.0
380,805.2062841530054,104.45833333333333,365.0,9.305147058823529
264,527.0,26.0,365.0,9.305147058823529
1999,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
175,300.0,90.0,363.0,9.0
36,805.2062841530054,104.45833333333333,220.44979367262724,9.0
117,805.2062841530054,104.45833333333333,26.0,10.0
135,200.0,104.45833333333333,196.0,10.0
487,805.2062841530054,104.45833333333333,339.0,9.0
746,805.2062841530054,373.0,220.44979367262724,9.305147058823529
185,805.2062841530054,104.45833333333333,365.0,9.305147058823529
858,1865.0,112.0,345.0,10.0
330,805.2062841530054,104.45833333333333,135.0,8.0
71,805.2062841530054,20.0,220.44979367262724,8.0
212,275.0,120.0,5.0,9.0
966,805.2062841530054,118.0,220.44979367262724,10.0
31,200.0,10.0,278.0,10.0
798,500.0,150.0,247.0,10.0
180,199.0,59.0,220.44979367262724,9.0
220,805.2062841530054,25.0,220.44979367262724,10.0
64,805.2062841530054,30.0,20.0,9.0
933,805.2062841530054,104.45833333333333,363.0,9.305147058823529
298,600.0,180.0,174.0,9.0
185,300.0,80.0,165.0,10.0
35,805.2062841530054,104.45833333333333,220.44979367262724,9.0
149,1000.0,60.0,316.0,9.305147058823529
997,1000.0,380.0,170.0,9.0
795,1000.0,345.0,229.0,10.0
101,400.0,100.0,357.0,9.305147058823529
105,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
101,128.0,120.0,365.0,10.0
37,805.2062841530054,104.45833333333333,365.0,9.305147058823529
138,805.2062841530054,104.45833333333333,347.0,10.0
100,805.2062841530054,104.45833333333333,264.0,9.0
100,250.0,80.0,321.0,9.0
269,805.2062841530054,60.0,317.0,9.0
229,805.2062841530054,95.0,228.0,9.0
479,805.2062841530054,104.45833333333333,3.0,9.0
45,136.0,50.0,220.44979367262724,10.0
298,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
2499,805.2062841530054,104.45833333333333,365.0,9.305147058823529
999,805.2062841530054,104.45833333333333,365.0,9.305147058823529
129,805.2062841530054,60.0,365.0,10.0
351,500.0,120.0,316.0,9.0
80,500.0,30.0,27.0,10.0
112,805.2062841530054,104.45833333333333,309.0,10.0
399,1000.0,185.0,220.44979367262724,9.0
144,250.0,150.0,220.44979367262724,9.305147058823529
351,805.2062841530054,104.45833333333333,172.0,9.0
20,805.2062841530054,20.0,220.44979367262724,10.0
85,805.2062841530054,15.0,220.44979367262724,10.0
29,805.2062841530054,10.0,309.0,9.0
100,805.2062841530054,100.0,365.0,9.305147058823529
325,500.0,250.0,267.0,10.0
85,100.0,40.0,174.0,8.0
112,805.2062841530054,104.45833333333333,365.0,9.305147058823529
264,805.2062841530054,104.45833333333333,326.0,9.0
353,805.2062841530054,50.0,365.0,8.0
125,250.0,99.0,65.0,10.0
125,200.0,80.0,168.0,9.0
105,805.2062841530054,60.0,336.0,9.0
80,100.0,50.0,339.0,10.0
80,700.0,20.0,214.0,9.0
120,200.0,100.0,323.0,9.0
701,805.2062841530054,100.0,220.44979367262724,9.305147058823529
135,200.0,50.0,204.0,10.0
169,200.0,60.0,211.0,9.0
395,1000.0,300.0,342.0,9.0
60,200.0,25.0,314.0,9.0
801,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
997,1000.0,500.0,220.44979367262724,9.0
72,100.0,12.0,352.0,10.0
351,800.0,140.0,317.0,9.0
3726,3730.0,104.45833333333333,220.44979367262724,9.305147058823529
137,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
30,805.2062841530054,20.0,220.44979367262724,9.305147058823529
50,805.2062841530054,50.0,64.0,9.0
1999,805.2062841530054,104.45833333333333,358.0,9.305147058823529
55,150.0,25.0,243.0,10.0
933,805.2062841530054,298.0,220.44979367262724,10.0
31,100.0,7.0,358.0,8.0
298,1000.0,160.0,220.44979367262724,10.0
139,200.0,85.0,276.0,9.0
65,120.0,25.0,232.0,10.0
1703,805.2062841530054,400.0,108.0,10.0
1146,1500.0,285.0,306.0,9.0
91,500.0,104.45833333333333,287.0,9.305147058823529
234,805.2062841530054,141.0,291.0,10.0
80,805.2062841530054,15.0,216.0,10.0
90,805.2062841530054,50.0,220.44979367262724,9.305147058823529
15,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
40,90.0,10.0,253.0,8.0
2748,805.2062841530054,104.45833333333333,360.0,9.305147058823529
40,100.0,15.0,289.0,8.0
21,805.2062841530054,104.45833333333333,220.44979367262724,8.0
125,100.0,75.0,345.0,10.0
91,500.0,104.45833333333333,283.0,8.0
298,805.2062841530054,50.0,173.0,9.0
200,500.0,100.0,220.44979367262724,9.305147058823529
172,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
59,805.2062841530054,25.0,364.0,10.0
110,805.2062841530054,10.0,357.0,9.0
130,805.2062841530054,30.0,100.0,6.0
353,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
400,200.0,270.0,142.0,9.0
518,805.2062841530054,300.0,351.0,9.0
148,805.2062841530054,104.45833333333333,322.0,10.0
1000,805.2062841530054,104.45833333333333,365.0,10.0
100,1845.0,104.45833333333333,363.0,9.305147058823529
149,330.0,80.0,220.44979367262724,9.0
105,805.2062841530054,104.45833333333333,360.0,10.0
200,805.2062841530054,125.0,117.0,10.0
47,805.2062841530054,104.45833333333333,364.0,10.0
130,300.0,65.0,127.0,10.0
903,1000.0,104.45833333333333,220.44979367262724,8.0
40,805.2062841530054,104.45833333333333,220.44979367262724,10.0
109,200.0,30.0,125.0,10.0
447,776.0,300.0,140.0,10.0
1484,5000.0,300.0,220.44979367262724,10.0
110,400.0,40.0,300.0,10.0
90,150.0,25.0,365.0,9.0
385,805.2062841530054,298.0,365.0,9.0
463,800.0,120.0,272.0,10.0
25,805.2062841530054,25.0,324.0,9.0
209,724.0,169.0,357.0,10.0
75,805.2062841530054,50.0,220.44979367262724,9.305147058823529
60,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
134,805.2062841530054,93.0,220.44979367262724,9.305147058823529
506,805.2062841530054,104.45833333333333,365.0,9.305147058823529
793,2000.0,104.45833333333333,220.44979367262724,9.305147058823529
70,150.0,104.45833333333333,220.44979367262724,10.0
48,200.0,30.0,365.0,9.0
211,596.0,104.45833333333333,343.0,10.0
40,805.2062841530054,104.45833333333333,275.0,9.0
60,200.0,80.0,358.0,7.0
53,805.2062841530054,26.0,365.0,9.305147058823529
250,500.0,200.0,198.0,10.0
189,450.0,80.0,276.0,9.0
84,250.0,69.0,258.0,9.0
65,805.2062841530054,104.45833333333333,353.0,9.305147058823529
189,250.0,150.0,312.0,9.0
80,805.2062841530054,104.45833333333333,266.0,10.0
100,805.2062841530054,15.0,284.0,10.0
933,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
895,805.2062841530054,600.0,180.0,9.305147058823529
187,805.2062841530054,104.45833333333333,180.0,9.305147058823529
169,200.0,200.0,215.0,10.0
119,600.0,75.0,220.44979367262724,8.0
348,805.2062841530054,50.0,336.0,9.0
188,805.2062841530054,104.45833333333333,92.0,10.0
461,805.2062841530054,104.45833333333333,157.0,10.0
60,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
351,1000.0,250.0,130.0,10.0
40,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
58,300.0,40.0,359.0,9.0
447,805.2062841530054,50.0,62.0,9.0
100,100.0,104.45833333333333,220.44979367262724,10.0
306,700.0,160.0,12.0,8.0
350,500.0,155.0,115.0,9.0
135,250.0,150.0,182.0,10.0
359,805.2062841530054,104.45833333333333,365.0,9.305147058823529
65,200.0,35.0,333.0,10.0
125,805.2062841530054,104.45833333333333,220.44979367262724,9.0
298,3900.0,240.0,42.0,10.0
95,805.2062841530054,60.0,365.0,9.305147058823529
125,1000.0,50.0,66.0,10.0
47,100.0,20.0,100.0,10.0
359,805.2062841530054,104.45833333333333,220.44979367262724,9.0
125,500.0,55.0,220.44979367262724,10.0
746,805.2062841530054,75.0,358.0,9.305147058823529
89,805.2062841530054,30.0,280.0,9.0
417,805.2062841530054,237.0,297.0,8.0
400,805.2062841530054,50.0,236.0,9.0
79,1000.0,100.0,16.0,10.0
60,250.0,20.0,259.0,10.0
125,805.2062841530054,104.45833333333333,365.0,9.0
35,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
499,500.0,175.0,245.0,9.0
685,805.2062841530054,104.45833333333333,365.0,9.305147058823529
325,300.0,350.0,295.0,8.0
90,805.2062841530054,60.0,365.0,10.0
239,805.2062841530054,193.0,257.0,9.305147058823529
283,805.2062841530054,104.45833333333333,75.0,9.0
128,1500.0,75.0,267.0,9.0
597,805.2062841530054,104.45833333333333,32.0,8.0
64,805.2062841530054,25.0,220.44979367262724,10.0
227,805.2062841530054,104.45833333333333,365.0,9.305147058823529
161,150.0,70.0,322.0,9.0
190,805.2062841530054,104.45833333333333,363.0,10.0
761,805.2062841530054,250.0,220.44979367262724,9.0
451,500.0,200.0,329.0,9.0
500,1000.0,150.0,363.0,8.0
99,805.2062841530054,50.0,88.0,9.0
424,805.2062841530054,50.0,57.0,9.0
633,1055.0,211.0,365.0,9.305147058823529
85,300.0,50.0,194.0,9.0
31,805.2062841530054,104.45833333333333,358.0,9.0
35,805.2062841530054,20.0,92.0,9.0
90,350.0,85.0,220.44979367262724,10.0
550,805.2062841530054,100.0,220.44979367262724,9.305147058823529
25,805.2062841530054,10.0,220.44979367262724,9.305147058823529
165,805.2062841530054,35.0,154.0,9.305147058823529
250,400.0,150.0,80.0,9.0
65,805.2062841530054,104.45833333333333,220.44979367262724,9.305147058823529
269,805.2062841530054,104.45833333333333,365.0,9.305147058823529
1000,805.2062841530054,400.0,361.0,10.0
548,373.0,99.0,214.0,10.0
90,300.0,60.0,223.0,9.0
200,300.0,156.0,305.0,9.0
